playerId,name,proTeam,position,proj_points
4239944,Hunter Long,JAX,TE,3.61
4360231,Lucas Krull,DEN,TE,11.11
4250764,Stone Smartt,NYJ,TE,3.05
4605841,Nathan Carter,ATL,RB,8.7
4427728,Bam Knight,ARI,RB,5.64
2531358,Chris Manhertz,NYG,TE,3.56
4426553,Davis Allen,LAR,TE,3.95
4722908,Drew Ogletree,IND,TE,3.42
4061956,Ashton Dulin,IND,WR,3.37
4259305,Bo Melton,GB,CB,0.05
4696700,Tip Reiman,ARI,TE,7.15
4424106,Gunner Olszewski,NYG,WR,2.41
2975863,Eric Saubert,SEA,TE,7.15
4034948,Feleipe Franks,ATL,TE,3.55
4429684,Anthony Gould,IND,WR,3.39
4035693,Velus Jones Jr.,NO,RB,0.7
4047422,Tanner Conner,MIA,TE,8.14
4241983,Cody White,SEA,WR,3.53
4428811,Xavier Weaver,ARI,WR,3.68
5097554,Kameron Johnson,TB,WR,0.1
4374045,Teagan Quitoriano,ATL,TE,3.81
4369466,Ryan Miller,TB,WR,1.82
4362018,Blake Whiteheart,CLE,TE,6.96
4432731,Moliki Matavao,NO,TE,9.38
4362617,Bryce Oliver,TEN,WR,7.03
4877203,Gage Larvadain,CLE,WR,6.71
4361112,Devin Culp,TB,TE,3.56
4361100,Jack Westover,NE,TE,3.67
4360978,David Martin-Robinson,TEN,TE,7.2
4242558,Tucker Fisk,LAC,TE,3.81
4362523,Will Mallory,IND,TE,3.09
